Fecha,Estado,Horario,Centena,Fijo,Corrido_1,Corrido_2
2024-01-14,FL,Midday,2,87,95,17
2024-01-14,NY,Midday,0,74,69,8
2024-01-14,GA,Evening,1,20,77,89
2024-01-14,TN,Evening,4,12,49,72
2024-01-14,NY,Evening,4,40,38,66
2024-01-14,NJ,Evening,5,64,10,2
2024-01-14,GA,Night,4,45,58,72
2024-01-15,TN,Morning,9,22,56,45
2024-01-15,GA,Midday,6,36,19,85
2024-01-15,NJ,Midday,7,20,72,54
2024-01-15,TN,Midday,9,92,95,68
2024-01-15,FL,Midday,8,77,14,74
2024-01-15,NY,Midday,2,8,46,49
2024-01-15,GA,Evening,8,6,6,94
2024-01-15,TN,Evening,5,85,42,69
2024-01-15,FL,Evening,8,11,97,37
2024-01-15,NY,Evening,1,62,8,64
2024-01-15,NJ,Evening,6,90,38,85
2024-01-15,GA,Night,8,7,40,96
2024-01-16,TN,Morning,7,51,85,64
2024-01-16,GA,Midday,4,71,81,3
2024-01-16,NJ,Midday,9,52,71,7
2024-01-16,TN,Midday,6,11,62,92
2024-01-16,FL,Midday,5,14,85,69
2024-01-16,NY,Midday,6,83,31,92
2024-01-16,GA,Evening,9,23,1,38
2024-01-16,TN,Evening,3,32,35,47
2024-01-16,NY,Evening,0,43,25,60
2024-01-16,NJ,Evening,5,6,78,11
2024-01-16,GA,Night,7,18,53,0
2024-01-17,TN,Morning,9,17,16,50
2024-01-17,GA,Midday,3,92,84,93
2024-01-17,NJ,Midday,8,4,46,55
2024-01-17,TN,Midday,0,44,3,3
2024-01-17,FL,Midday,4,99,65,31
2024-01-17,NY,Midday,9,91,89,40
2024-01-17,GA,Evening,9,85,77,22
2024-01-17,TN,Evening,8,99,62,66
2024-01-17,FL,Evening,6,58,5,18
2024-01-17,NY,Evening,5,65,42,42
2024-01-17,NJ,Evening,5,86,76,65
2024-01-17,GA,Night,4,10,88,61
2024-01-18,TN,Morning,2,72,80,61
2024-01-18,GA,Midday,8,18,94,81
2024-01-18,NJ,Midday,5,78,29,6
2024-01-18,TN,Midday,3,18,3,1
2024-01-18,FL,Midday,4,70,67,59
2024-01-18,NY,Midday,0,70,23,14
2024-01-18,GA,Evening,4,35,76,65
2024-01-18,TN,Evening,9,28,96,0
2024-01-18,NY,Evening,5,45,12,57
2024-01-18,NJ,Evening,0,65,66,93
2024-01-18,GA,Night,0,64,2,29
2024-01-19,TN,Morning,7,52,46,47
2024-01-19,GA,Midday,6,38,54,95
2024-01-19,NJ,Midday,4,58,98,87
2024-01-19,TN,Midday,2,7,68,81
2024-01-19,FL,Midday,5,26,24,36
2024-01-19,NY,Midday,2,82,83,82
2024-01-19,GA,Evening,5,9,15,51
2024-01-19,TN,Evening,1,74,57,20
2024-01-19,FL,Evening,6,43,31,53
2024-01-19,NY,Evening,9,52,60,77
2024-01-19,NJ,Evening,4,68,75,93
2024-01-19,GA,Night,8,8,10,70
2024-01-20,TN,Morning,8,26,51,30
2024-01-20,GA,Midday,9,46,29,12
2024-01-20,NJ,Midday,6,40,58,60
2024-01-20,TN,Midday,0,94,52,23
2024-01-20,FL,Midday,3,72,51,84
2024-01-20,NY,Midday,3,69,91,47
2024-01-20,GA,Evening,3,90,64,53
2024-01-20,NY,Evening,9,50,39,12
2024-01-20,NJ,Evening,6,51,16,65
2024-01-20,GA,Night,8,60,10,95
2024-01-21,GA,Midday,6,62,56,67
2024-01-21,NJ,Midday,8,92,24,69
2024-01-21,FL,Midday,8,28,92,98
2024-01-21,NY,Midday,8,5,32,58
2024-01-21,GA,Evening,3,13,58,13
2024-01-21,TN,Evening,6,64,48,6
2024-01-21,FL,Evening,5,40,65,19
2024-01-21,NY,Evening,9,14,72,66
2024-01-21,NJ,Evening,9,90,49,38
2024-01-21,GA,Night,1,53,38,77
2024-01-22,TN,Morning,9,3,4,51
2024-01-22,GA,Midday,0,98,9,81
2024-01-22,NJ,Midday,6,11,80,62
2024-01-22,TN,Midday,9,29,75,70
2024-01-22,FL,Midday,9,42,60,96
2024-01-22,NY,Midday,8,25,30,53
2024-01-22,GA,Evening,3,63,51,84
2024-01-22,TN,Evening,7,38,53,61
2024-01-22,NY,Evening,1,99,6,7
2024-01-22,NJ,Evening,1,91,58,26
2024-01-22,GA,Night,7,80,53,3
2024-01-23,TN,Morning,5,74,6,57
2024-01-23,GA,Midday,2,14,62,87
2024-01-23,NJ,Midday,6,83,81,62
2024-01-23,TN,Midday,0,6,71,71
2024-01-23,FL,Midday,1,99,66,87
2024-01-23,NY,Midday,8,96,4,90
2024-01-23,GA,Evening,7,71,82,83
2024-01-23,TN,Evening,4,97,4,99
2024-01-23,FL,Evening,5,87,73,62
2024-01-23,NY,Evening,0,38,24,20
2024-01-23,NJ,Evening,7,55,78,45
2024-01-23,GA,Night,1,4,55,56
2024-01-24,TN,Morning,2,68,28,76
2024-01-24,GA,Midday,7,90,85,16
2024-01-24,NJ,Midday,0,57,60,44
2024-01-24,TN,Midday,4,9,42,95
2024-01-24,FL,Midday,1,88,58,70
2024-01-24,NY,Midday,8,78,99,96
2024-01-24,GA,Evening,2,52,85,41
2024-01-24,TN,Evening,7,92,84,10
2024-01-24,NY,Evening,1,3,88,70
2024-01-24,NJ,Evening,9,59,91,50
2024-01-24,GA,Night,1,17,28,83
2024-01-25,TN,Morning,0,3,72,19
2024-01-25,GA,Midday,4,13,42,37
2024-01-25,NJ,Midday,8,80,25,72
2024-01-25,TN,Midday,2,27,26,73
2024-01-25,FL,Midday,2,2,61,33
2024-01-25,NY,Midday,7,61,17,54
2024-01-25,GA,Evening,4,66,96,4
2024-01-25,TN,Evening,8,58,72,64
2024-01-25,FL,Evening,2,78,84,72
2024-01-25,NY,Evening,7,54,77,1
2024-01-25,NJ,Evening,6,85,61,1
2024-01-25,GA,Night,9,11,32,24
2024-01-26,TN,Morning,1,40,49,31
2024-01-26,GA,Midday,9,68,33,13
2024-01-26,NJ,Midday,7,2,66,97
2024-01-26,TN,Midday,4,43,45,74
2024-01-26,FL,Midday,0,93,25,69
2024-01-26,NY,Midday,0,72,17,31
2024-01-26,GA,Evening,1,24,42,2
2024-01-26,TN,Evening,2,85,63,7
2024-01-26,NY,Evening,1,33,52,5
2024-01-26,NJ,Evening,1,7,62,11
2024-01-26,GA,Night,8,41,64,47
2024-01-27,TN,Morning,0,81,84,80
2024-01-27,GA,Midday,6,56,50,63
2024-01-27,NJ,Midday,4,70,64,36
2024-01-27,TN,Midday,1,26,84,7
2024-01-27,FL,Midday,9,35,75,3
2024-01-27,NY,Midday,4,68,93,25
2024-01-27,GA,Evening,3,99,98,6
2024-01-27,FL,Evening,5,92,38,11
2024-01-27,NY,Evening,2,42,28,20
2024-01-27,NJ,Evening,9,52,88,78
2024-01-27,GA,Night,0,74,24,54
2024-01-28,GA,Midday,0,79,28,87
2024-01-28,NJ,Midday,0,49,86,36
2024-01-28,FL,Midday,5,7,9,44
2024-01-28,NY,Midday,7,1,4,72
2024-01-28,GA,Evening,1,26,58,74
2024-01-28,TN,Evening,6,43,52,10
2024-01-28,FL,Evening,8,20,65,73
2024-01-28,NY,Evening,8,32,68,94
2024-01-28,NJ,Evening,2,88,29,71
2024-01-28,GA,Night,6,34,57,6
2024-01-29,TN,Morning,0,70,97,83
2024-01-29,GA,Midday,7,16,96,96
2024-01-29,NJ,Midday,9,7,63,45
2024-01-29,TN,Midday,8,11,29,73
2024-01-29,FL,Midday,9,78,97,54
2024-01-29,NY,Midday,3,60,7,0
2024-01-29,GA,Evening,2,97,22,97
2024-01-29,TN,Evening,6,93,69,13
2024-01-29,NY,Evening,5,60,4,42
2024-01-29,NJ,Evening,1,97,33,43
2024-01-29,GA,Night,5,82,85,47
2024-01-30,TN,Morning,2,74,46,4
2024-01-30,GA,Midday,4,89,57,8
2024-01-30,NJ,Midday,0,78,53,67
2024-01-30,TN,Midday,2,48,39,26
2024-01-30,FL,Midday,8,74,24,8
2024-01-30,NY,Midday,7,2,93,30
2024-01-30,GA,Evening,8,51,8,37
2024-01-30,TN,Evening,4,73,7,89
2024-01-30,NY,Evening,5,24,28,42
2024-01-30,NJ,Evening,7,13,20,83
2024-01-30,GA,Night,2,16,60,93
2024-01-31,TN,Morning,0,21,47,12
2024-01-31,GA,Midday,5,13,32,54
2024-01-31,NJ,Midday,8,46,26,17
2024-01-31,TN,Midday,4,32,41,94
2024-01-31,FL,Midday,3,13,37,86
2024-01-31,NY,Midday,0,69,71,30
2024-01-31,GA,Evening,4,18,25,65
2024-01-31,TN,Evening,7,24,45,31
2024-01-31,NY,Evening,1,39,88,8
2024-01-31,NJ,Evening,5,95,71,14
2024-01-31,GA,Night,8,91,99,12
2024-02-01,TN,Morning,4,49,99,19
2024-02-01,GA,Midday,2,16,79,28
2024-02-01,NJ,Midday,8,0,86,73
2024-02-01,TN,Midday,2,14,5,52
2024-02-01,FL,Midday,2,69,29,24
2024-02-01,NY,Midday,7,7,57,32
2024-02-01,GA,Evening,7,24,21,63
2024-02-01,TN,Evening,7,83,6,23
2024-02-01,NY,Evening,0,96,60,7
2024-02-01,NJ,Evening,4,48,7,57
2024-02-01,GA,Night,4,27,94,49
2024-02-02,TN,Morning,0,56,42,73
2024-02-02,GA,Midday,0,10,18,58
2024-02-02,NJ,Midday,1,84,19,85
2024-02-02,TN,Midday,3,98,42,51
2024-02-02,FL,Midday,2,95,99,4
2024-02-02,NY,Midday,7,59,3,50
2024-02-02,GA,Evening,3,6,21,65
2024-02-02,TN,Evening,3,81,91,48
2024-02-02,FL,Evening,4,66,92,47
2024-02-02,NY,Evening,5,21,28,92
2024-02-02,NJ,Evening,8,25,59,86
2024-02-02,GA,Night,9,2,87,10
2024-02-03,TN,Morning,8,63,0,23
2024-02-03,GA,Midday,1,57,85,99
2024-02-03,NJ,Midday,1,55,34,82
2024-02-03,TN,Midday,0,60,49,78
2024-02-03,FL,Midday,8,78,87,81
2024-02-03,NY,Midday,9,29,26,95
2024-02-03,GA,Evening,2,50,61,80
2024-02-03,TN,Evening,1,7,14,81
2024-02-03,FL,Evening,7,27,30,96
2024-02-03,NY,Evening,6,22,88,20
2024-02-03,NJ,Evening,6,51,27,21
2024-02-03,GA,Night,2,54,12,47
2024-02-04,GA,Midday,0,17,22,77
2024-02-04,NJ,Midday,6,11,8,29
2024-02-04,FL,Midday,0,21,61,39
2024-02-04,NY,Midday,2,51,7,20
2024-02-04,GA,Evening,6,45,86,54
2024-02-04,TN,Evening,0,77,1,6
2024-02-04,FL,Evening,9,93,37,30
2024-02-04,NY,Evening,4,51,71,45
2024-02-04,NJ,Evening,4,63,91,68
2024-02-04,GA,Night,5,67,10,9
2024-02-05,TN,Morning,9,6,42,28
2024-02-05,GA,Midday,0,23,54,99
2024-02-05,NJ,Midday,0,41,36,1
2024-02-05,TN,Midday,3,22,53,42
2024-02-05,FL,Midday,2,79,75,20
2024-02-05,NY,Midday,2,28,57,12
2024-02-05,GA,Evening,6,2,10,24
2024-02-05,TN,Evening,9,23,62,44
2024-02-05,FL,Evening,7,43,40,53
2024-02-05,NY,Evening,2,32,30,74
2024-02-05,NJ,Evening,2,75,78,15
2024-02-05,GA,Night,6,79,71,35
2024-02-06,TN,Morning,2,76,88,57
2024-02-06,GA,Midday,2,70,90,66
2024-02-06,NJ,Midday,6,43,90,55
2024-02-06,TN,Midday,2,47,32,77
2024-02-06,FL,Midday,6,17,89,90
2024-02-06,NY,Midday,5,70,70,63
2024-02-06,GA,Evening,4,31,54,5
2024-02-06,TN,Evening,2,75,67,19
2024-02-06,FL,Evening,7,25,35,71
2024-02-06,NY,Evening,6,5,32,90
2024-02-06,NJ,Evening,9,37,61,6
2024-02-06,GA,Night,6,89,9,13
2024-02-07,TN,Morning,4,91,29,51
2024-02-07,GA,Midday,9,97,68,55
2024-02-07,NJ,Midday,0,74,73,36
2024-02-07,TN,Midday,3,55,96,74
2024-02-07,FL,Midday,9,86,38,40
2024-02-07,NY,Midday,9,99,30,89
2024-02-07,GA,Evening,9,91,6,66
2024-02-07,TN,Evening,8,63,18,93
2024-02-07,FL,Evening,3,11,2,97
2024-02-07,NY,Evening,7,76,53,1
2024-02-07,NJ,Evening,7,21,88,49
2024-02-07,GA,Night,3,72,61,85
2024-02-08,TN,Morning,0,97,20,63
2024-02-08,GA,Midday,4,76,33,66
2024-02-08,NJ,Midday,4,52,81,82
2024-02-08,TN,Midday,5,23,98,95
2024-02-08,FL,Midday,0,83,47,83
2024-02-08,NY,Midday,6,59,36,0
2024-02-08,GA,Evening,0,76,63,36
2024-02-08,TN,Evening,5,87,99,55
2024-02-08,FL,Evening,5,97,49,18
2024-02-08,NY,Evening,0,71,15,79
2024-02-08,NJ,Evening,9,88,76,75
2024-02-08,GA,Night,4,88,7,74
2024-02-09,TN,Morning,8,67,14,21
2024-02-09,GA,Midday,2,18,23,41
2024-02-09,NJ,Midday,0,11,9,11
2024-02-09,TN,Midday,0,25,25,0
2024-02-09,FL,Midday,7,90,25,95
2024-02-09,NY,Midday,7,4,42,90
2024-02-09,GA,Evening,4,27,49,75
2024-02-09,TN,Evening,6,5,44,45
2024-02-09,FL,Evening,7,50,38,10
2024-02-09,NY,Evening,3,73,65,1
2024-02-09,NJ,Evening,3,36,26,0
2024-02-09,GA,Night,4,97,46,43
2024-02-10,TN,Morning,4,8,81,48
2024-02-10,GA,Midday,3,61,95,33
2024-02-10,NJ,Midday,9,46,41,82
2024-02-10,TN,Midday,7,71,28,30
2024-02-10,FL,Midday,0,62,83,76
2024-02-10,NY,Midday,3,29,73,18
2024-02-10,GA,Evening,6,45,25,59
2024-02-10,TN,Evening,5,1,26,58
2024-02-10,FL,Evening,5,85,87,90
2024-02-10,NY,Evening,7,49,8,65
2024-02-10,NJ,Evening,0,32,66,71
2024-02-10,GA,Night,0,59,35,2
2024-02-11,GA,Midday,7,25,65,44
2024-02-11,NJ,Midday,9,49,47,43
2024-02-11,FL,Midday,9,23,94,4
2024-02-11,NY,Midday,2,83,39,13
2024-02-11,GA,Evening,3,83,94,90
2024-02-11,TN,Evening,2,69,14,72
2024-02-11,FL,Evening,5,12,20,7
2024-02-11,NY,Evening,8,38,6,70
2024-02-11,NJ,Evening,3,22,34,9
2024-02-11,GA,Night,7,75,49,56
2024-02-12,TN,Morning,7,21,91,19
2024-02-12,GA,Midday,1,18,99,75
2024-02-12,NJ,Midday,4,54,60,8
2024-02-12,TN,Midday,2,22,57,56
2024-02-12,FL,Midday,8,20,66,34
2024-02-12,NY,Midday,5,21,42,58
2024-02-12,GA,Evening,7,50,58,26
2024-02-12,TN,Evening,6,53,74,18
2024-02-12,FL,Evening,7,69,92,6
2024-02-12,NY,Evening,5,47,93,65
2024-02-12,NJ,Evening,2,70,20,79
2024-02-12,GA,Night,1,81,7,92
2024-02-13,TN,Morning,8,69,66,67
2024-02-13,GA,Midday,8,60,24,88
2024-02-13,NJ,Midday,0,76,61,6
2024-02-13,TN,Midday,6,58,77,54
2024-02-13,FL,Midday,6,68,3,19
2024-02-13,NY,Midday,1,55,54,40
2024-02-13,GA,Evening,5,57,38,44
2024-02-13,TN,Evening,9,10,15,1
2024-02-13,FL,Evening,4,90,4,11
2024-02-13,NY,Evening,3,8,20,91
2024-02-13,NJ,Evening,1,97,94,47
2024-02-13,GA,Night,1,23,2,95
2024-02-14,TN,Morning,4,43,13,97
2024-02-14,GA,Midday,4,15,42,78
2024-02-14,NJ,Midday,2,33,74,99
2024-02-14,TN,Midday,2,91,34,70
2024-02-14,FL,Midday,0,86,77,29
2024-02-14,NY,Midday,3,89,16,70
2024-02-14,GA,Evening,6,35,65,51
2024-02-14,TN,Evening,5,92,48,13
2024-02-14,FL,Evening,3,76,29,3
2024-02-14,NY,Evening,1,47,14,17
2024-02-14,NJ,Evening,4,88,26,51
2024-02-14,GA,Night,0,84,50,17
2024-02-15,TN,Morning,6,51,51,74
2024-02-15,GA,Midday,1,66,71,74
2024-02-15,NJ,Midday,7,95,43,53
2024-02-15,TN,Midday,7,75,97,49
2024-02-15,FL,Midday,2,87,69,29
2024-02-15,NY,Midday,5,65,94,76
2024-02-15,GA,Evening,3,51,20,62
2024-02-15,TN,Evening,6,32,72,79
2024-02-15,FL,Evening,9,73,29,32
2024-02-15,NY,Evening,1,76,47,28
2024-02-15,NJ,Evening,9,17,75,68
2024-02-15,GA,Night,6,34,28,36
2024-02-16,TN,Morning,0,20,56,87
2024-02-16,GA,Midday,4,13,96,81
2024-02-16,NJ,Midday,4,33,75,1
2024-02-16,TN,Midday,6,98,89,78
2024-02-16,FL,Midday,7,63,23,50
2024-02-16,NY,Midday,7,18,96,18
2024-02-16,GA,Evening,8,33,52,69
2024-02-16,TN,Evening,7,51,62,74
2024-02-16,FL,Evening,8,17,31,12
2024-02-16,NY,Evening,2,99,81,67
2024-02-16,NJ,Evening,2,47,40,89
2024-02-16,GA,Night,2,71,4,0
2024-02-17,TN,Morning,0,6,87,92
2024-02-17,GA,Midday,0,90,9,11
2024-02-17,NJ,Midday,0,3,41,65
2024-02-17,TN,Midday,9,45,80,75
2024-02-17,FL,Midday,6,72,36,73
2024-02-17,NY,Midday,5,65,82,32
2024-02-17,GA,Evening,5,70,9,15
2024-02-17,TN,Evening,3,14,41,39
2024-02-17,FL,Evening,1,62,35,96
2024-02-17,NY,Evening,0,43,42,76
2024-02-17,NJ,Evening,3,81,59,61
2024-02-17,GA,Night,2,82,72,12
2024-02-18,GA,Midday,9,2,54,66
2024-02-18,NJ,Midday,7,89,72,41
2024-02-18,FL,Midday,5,23,40,32
2024-02-18,NY,Midday,0,95,88,10
2024-02-18,GA,Evening,9,7,70,73
2024-02-18,TN,Evening,5,5,31,83
2024-02-18,FL,Evening,2,26,71,85
2024-02-18,NY,Evening,6,85,37,79
2024-02-18,NJ,Evening,0,77,26,39
2024-02-18,GA,Night,8,81,18,24
2024-02-19,TN,Morning,6,49,0,99
2024-02-19,GA,Midday,9,8,15,28
2024-02-19,NJ,Midday,3,49,35,4
2024-02-19,TN,Midday,2,19,6,71
2024-02-19,FL,Midday,6,85,94,23
2024-02-19,NY,Midday,0,91,57,62
2024-02-19,GA,Evening,9,2,40,60
2024-02-19,TN,Evening,4,84,55,94
2024-02-19,FL,Evening,4,0,12,4
2024-02-19,NY,Evening,3,33,68,51
2024-02-19,NJ,Evening,3,95,12,72
2024-02-19,GA,Night,6,91,8,14
2024-02-20,TN,Morning,2,1,68,39
2024-02-20,GA,Midday,4,34,38,8
2024-02-20,NJ,Midday,3,7,71,1
2024-02-20,TN,Midday,2,68,66,25
2024-02-20,FL,Midday,4,20,86,68
2024-02-20,NY,Midday,0,76,8,47
2024-02-20,GA,Evening,3,57,75,93
2024-02-20,TN,Evening,8,20,63,60
2024-02-20,FL,Evening,8,30,72,34
2024-02-20,NY,Evening,7,68,85,77
2024-02-20,NJ,Evening,4,23,70,13
2024-02-20,GA,Night,2,60,99,82
2024-02-21,TN,Morning,9,36,71,46
2024-02-21,GA,Midday,4,55,91,26
2024-02-21,NJ,Midday,8,31,71,84
2024-02-21,TN,Midday,8,88,57,55
2024-02-21,FL,Midday,6,19,41,26
2024-02-21,NY,Midday,1,11,76,69
2024-02-21,GA,Evening,6,99,21,51
2024-02-21,TN,Evening,0,12,74,58
2024-02-21,FL,Evening,6,64,76,88
2024-02-21,NY,Evening,7,19,74,64
2024-02-21,NJ,Evening,9,86,71,60
2024-02-21,GA,Night,3,23,97,54
2024-02-22,TN,Morning,3,83,50,42
2024-02-22,GA,Midday,8,93,69,19
2024-02-22,NJ,Midday,3,41,21,42
2024-02-22,TN,Midday,6,87,83,41
2024-02-22,FL,Midday,2,11,29,19
2024-02-22,NY,Midday,7,42,16,18
2024-02-22,GA,Evening,6,36,28,51
2024-02-22,TN,Evening,9,94,96,63
2024-02-22,FL,Evening,2,67,10,91
2024-02-22,NY,Evening,8,82,98,11
2024-02-22,NJ,Evening,8,2,44,57
2024-02-22,GA,Night,8,3,21,49
2024-02-23,TN,Morning,2,55,56,54
2024-02-23,GA,Midday,1,98,25,65
2024-02-23,NJ,Midday,4,47,51,14
2024-02-23,TN,Midday,0,87,23,54
2024-02-23,FL,Midday,7,86,71,15
2024-02-23,NY,Midday,4,20,45,10
2024-02-23,GA,Evening,6,56,72,87
2024-02-23,TN,Evening,4,13,57,83
2024-02-23,FL,Evening,9,49,64,24
2024-02-23,NY,Evening,6,54,96,75
2024-02-23,NJ,Evening,3,0,34,32
2024-02-23,GA,Night,7,60,93,65
2024-02-24,TN,Morning,2,76,23,49
2024-02-24,GA,Midday,9,45,68,61
2024-02-24,NJ,Midday,5,75,96,74
2024-02-24,TN,Midday,2,80,81,68
2024-02-24,FL,Midday,0,13,32,49
2024-02-24,NY,Midday,5,11,13,85
2024-02-24,GA,Evening,5,39,3,40
2024-02-24,TN,Evening,6,93,32,83
2024-02-24,FL,Evening,3,54,26,21
2024-02-24,NY,Evening,8,41,57,95
2024-02-24,NJ,Evening,7,76,96,43
2024-02-24,GA,Night,8,79,40,29
2024-02-25,GA,Midday,9,29,98,48
2024-02-25,NJ,Midday,4,34,23,87
2024-02-25,FL,Midday,9,62,24,42
2024-02-25,NY,Midday,2,98,37,66
2024-02-25,GA,Evening,3,47,39,98
